id,name,glideId,date,locations,locations_id,categories,categories_id
947,Ethiopia Tigray Complex Emergency,CE-2020-000229-ETH,2020-11-04T10:50:57.825Z,71,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,240,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,220,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,230,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,1,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,105,id,2,id
950,Afghanistan Complex Emergency August 2021,CE-2021-000142-AFG,2021-08-06T13:30:18.871Z,169,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,35,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,60,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,70,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,101,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,123,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,129,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,146,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,178,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,183,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,203,id,2,id
951,Ukraine Crisis 2022,,2022-01-01T10:09:13.706Z,234,id,2,id
956,Malawi: Cholera outbreak 2023,2022-000298,2023-03-31T14:05:18.487Z,134,id,3,id
962,oPt Complex Emergency 2023-24,CE-2023-000186-PSE,2023-10-11T18:24:14.164Z,171,id,2,id
962,oPt Complex Emergency 2023-24,CE-2023-000186-PSE,2023-10-11T18:24:14.164Z,66,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,43,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,66,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,69,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,71,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,127,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,211,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,212,id,2,id
957,Sudan Complex Emergency 2023,CE-2021-000187-SDN,2023-04-25T08:03:59.852Z,44,id,2,id
964,Lebanon Complex Emergency 2024,,2024-09-30T22:00:00.000Z,124,id,2,id
